Name	Set	ImageFile	Cost	Element	Power	FirstCategory	SecondCategory	Type	Job	Effect	
Doomtrain	Opus_VI	6-029C_eg.jpg	4	ICE	0	V	null	Summon		"If your opponent has 1 card or less in his/her hand, the cost required to cast Doomtrain is reduced by 2.[[br]] Choose 1 dull Forward. Deal it 9000 damage."
Militesi Coeurl	Opus_VI	6-030C_eg.jpg	3	ICE	0	T	null	Monster	Lesser Coeurl	"{0}: Until the end of the turn, Militesi Coeurl also becomes a Forward with 5000 power and ""When Militesi Coeurl attacks, choose 1 Forward. Dull it."" You can only use this ability once per turn."
Summoner	Opus_VI	6-031C_eg.jpg	3	ICE	0	F	null	Backup	Standard Unit	"{1}{TAP}, put Summoner into the Break Zone: Choose up to 2 Ice Summons in your Break Zone. Add them to your hand."
Summoner	Opus_VI	6-032C_eg.jpg	1	ICE	0	F	null	Backup	Standard Unit	
Squall	Opus_VI	6-033H_eg.jpg	2	ICE	5000	V	null	Forward	SeeD Candidate	"If your opponent has 2 cards or less in his/her hand, Squall gains Haste and First Strike.[[br]] If your opponent has no cards in his/her hand, Squall gains +3000 power."
Snow	Opus_VI	6-034R_eg.jpg	3	ICE	7000	T	XIII	Forward	Sentinel	"If you control [[i]]Card Name Serah[[/]], Snow gains +1000 power.[[br]] If you control a [[i]]Category XIII[[/]] Forward other than Snow, Snow gains +1000 power.[[br]]"
Snow Giant	Opus_VI	6-035R_eg.jpg	1	ICE	0	T	null	Monster	Snow Giant	"{ICE}, put Snow Giant into the Break Zone: Choose 1 Forward. Dull it and Freeze it."
Celes	Opus_VI	6-036C_eg.jpg	2	ICE	5000	D	VI	Forward	Rune Knight	{ICE}{ICE}: Celes gains +3000 power until the end of the turn. You can only use this ability once per turn.
Shock Trooper	Opus_VI	6-037C_eg.jpg	4	ICE	8000	T	null	Forward	Standard Unit	"When Shock Trooper attacks, choose 1 Forward opponent controls. Break it and break Shock Trooper."
Hades	Opus_VI	6-038R_eg.jpg	5	ICE	0	M	VII	Summon		Choose 1 dull Forward. Break it. The owner of this Forward discards 1 card from his/her hand.
Borghen	Opus_VI	6-039H_eg.jpg	1	ICE	3000	I	null	Forward	Captain	"When Borghen is put from the field into the Break Zone, your opponent discards 1 card from his/her hand."
Laguna	Opus_VI	6-040H_eg.jpg	3	ICE	4000	V	null	Forward	President	"When Laguna enters the field, you may search for 1 [[i]]Card Name Squall[[/]] and add it to your hand.[[br]]"
Rinoa	Opus_VI	6-041L_eg.jpg	4	ICE	7000	V	null	Forward	Resistance Fighter	"When Rinoa enters the field, choose 1 Forward other than Rinoa you control. Remove it from the game. Then, play the removed Forward onto the field dull."
Locke	Opus_VI	6-042C_eg.jpg	4	ICE	7000	T	VI	Forward	Treasure Hunter	"When Locke enters the field, reveal the top 5 cards of your deck. Add 1 [[i]]Category VI[[/]] card among them to your hand and return the other cards to the bottom of your deck in any order."
Evoker	Opus_VI	6-043C_eg.jpg	1	WIND	0	I	null	Backup	Standard Unit	
Zidane	Opus_VI	6-044L_eg.jpg	4	WIND	7000	D	IX	Forward	Genome	"Zidane cannot be chosen by your opponent's abilities.[[br]] When your opponent discards a card from his/her hand due to your Summons or abilities, choose 1 Wind Character. Activate it. [[br]] When Zidane attacks, your opponent reveals his/her hand. Select 1 Forward from their hand. Your opponent discards this card."
Cid (II)	Opus_VI	6-045H_eg.jpg	4	WIND	0	I	null	Backup	Engineer	{TAP}: Search for 1 Backup of cost 1 and add it to your hand.
Cid Haze	Opus_VI	6-046C_eg.jpg	3	WIND	0	T	III	Backup	Engineer	"[[ex]]EX BURST[[/]] When Cid Haze enters the field, you may search for 1 [[i]]Job Standard Unit[[/]] Forward and add it to your hand."
White Mage	Opus_VI	6-047C_eg.jpg	2	WIND	0	X	null	Backup	Standard Unit	"When White Mage enters the field, choose 1 card in your opponent's Break Zone. Remove it from the game.[[br]] {１}, put White Mage into the Break Zone: Choose 1 card in your opponent's Break Zone. Remove it from the game."
Shinra	Opus_VI	6-048C_eg.jpg	4	WIND	0	X	null	Backup	Youth	"[[ex]]EX BURST[[/]] When Shinra enters the field, you may search for 1 [[i]]Job Gullwings[[/]] Forward and add it to your hand."
Zu	Opus_VI	6-049C_eg.jpg	4	WIND	0	T	null	Monster	Zu	"{0}: Until the end of the turn, Zu becomes a Forward with 7000 power and ""When Zu attacks, choose 1 Backup you control. Activate it."" You can only use this ability once per turn."
Chocobo	Opus_VI	6-050C_eg.jpg	3	WIND	3000	T	null	Forward	Standard Unit	"When Chocobo enters the field, you may play 1 [[i]]Card Name Chocobo[[/]] from your hand onto the field."
Choco/Mog	Opus_VI	6-051C_eg.jpg	1	WIND	0	M	VII	Summon		[[ex]]EX BURST[[/]] Search for 1 [[i]]Job Chocobo[[/]] or [[i]]Job Moogle[[/]] and add it to your hand.
Diablos	Opus_VI	6-052R_eg.jpg	3	WIND	0	V	null	Summon		Choose 1 Forward. Its power becomes 4000 until the end of the turn. Draw 1 card.
Paine	Opus_VI	6-053R_eg.jpg	4	WIND	8000	X	null	Forward	Gullwings	The [[i]]Job Gullwings[[/]] Forwards you control cannot be chosen by your opponent's Summons.[[br]][[s]]Assault[[/]] {S}{WIND}: All the [[i]]Job Gullwings[[/]] you control gain Haste until the end of the turn.
Fujin	Opus_VI	6-054R_eg.jpg	3	WIND	0	D	VIII	Backup	Disciplinary Committee Member	"[[ex]]EX BURST[[/]] When Fujin enters the field, you may search for 1 [[i]]Card Name Seifer[[/]] and add it to your hand.[[br]] The [[i]]Card Name Seifer[[/]] you control gains First Strike during your turn."
Geomancer	Opus_VI	6-055C_eg.jpg	2	WIND	0	F	null	Backup	Standard Unit	"{TAP}, put Geomancer into the Break Zone: Choose 1 attacking Forward. Deal it 4000 damage."
Paul	Opus_VI	6-056H_eg.jpg	2	WIND	4000	I	null	Forward	Thief	"Paul cannot be blocked by a Forward of cost 3 or more.[[br]] When Paul deals damage to your opponent, your opponent puts the top 5 cards of his/her deck into the Break Zone."
Maria	Opus_VI	6-057L_eg.jpg	2	WIND	5000	I	null	Forward	Rebel	"{TAP}: Choose 1 [[i]]Category II[[/]] Forward other than Maria. It gains +2000 power until the end of the turn.[[br]] {TAP}: Deal 1000 damage to all the Forwards opponent controls.[[br]] {WIND}{TAP}: Choose 1 Forward. During this turn, the next damage dealt to it is reduced by 3000 instead."
Moogle (XI)	Opus_VI	6-058R_eg.jpg	2	WIND	0	X	null	Backup	Moogle	[[s]]Retrieve[[/]] {S}{TAP}: Search for 1 card and add it to your hand.
Wingvern	Opus_VI	6-059R_eg.jpg	2	WIND	0	T	null	Monster	Dragon	"{WIND}{１}, put Wingvern into the Break Zone: Choose 1 Forward of power 9000 or more. Break it."
Lezaford	Opus_VI	6-060H_eg.jpg	7	WIND	0	F	null	Backup	Magus	"When Lezaford enters the field, reveal the top 5 cards of your deck. Play 1 Wind Character of cost 5 or less among them onto the field and return the other cards to the bottom of your deck in any order.[[br]] {WIND}{TAP}, put Lezaford into the Break Zone: Choose 1 Forward. During this turn, the next damage it deals to a Forward becomes 0 instead."
Raptor	Opus_VI	6-061C_eg.jpg	3	WIND	6000	F	null	Forward	Standard Unit	"If you control a [[i]]Category FFTA2[[/]] Forward other than Raptor, Raptor gains +2000 power."
Rikku	Opus_VI	6-062R_eg.jpg	3	WIND	7000	X	null	Forward	Gullwings	The [[i]]Job Gullwings[[/]] Forwards you control cannot be chosen by your opponent's abilities.[[br]][[s]]Escape[[/]] {S}: Remove Rikku from the Battle. You can only use this ability when Rikku is in Battle.
Leon	Opus_VI	6-063H_eg.jpg	1	WIND	8000	I	null	Forward	Rebel	"When Leon enters the field, your opponent gains control of Leon.[[br]] When a [[i]]Category II[[/]] Character of your opponent enters the field, your opponent gains control of Leon."
Ajido-Marujido	Opus_VI	6-064H_eg.jpg	5	EARTH	0	X	null	Backup	Mage	"When Ajido-Marujido enters the field, select 1 of the 2 following actions.[[br]] ""Cast 1 Summon from your hand without paying the cost.""[[br]] ""Choose up to 2 Summons in your Break Zone. Add them to your hand."""
Dark Knight	Opus_VI	6-065C_eg.jpg	3	EARTH	9000	X	null	Forward	Standard Unit	"If Dark Knight receives damage, the damage increases by 4000 instead."
Warrior of Light	Opus_VI	6-066H_eg.jpg	6	EARTH	7000	D	I	Forward	Warrior of Light	"When Warrior of Light enters the field, choose 1 [[i]]Job Standard Unit[[/]] of cost 2 or less in your Break Zone. Play it onto the field.[[br]] When a [[i]]Job Standard Unit[[/]] enters your field, Warrior of Light gains +2000 power until the end of the turn.[[br]][[s]]Indomitable Charge[[/]] {S}{EARTH}{EARTH}: Until the end of the turn, all the Forwards you control gain +3000 power and Brave."
Epitav	Opus_VI	6-067R_eg.jpg	3	EARTH	0	F	null	Backup	King	"When Epitav enters the field, you may search for 1 [[i]]Category FFCC[[/]] Forward and add it to your hand."
Scholar	Opus_VI	6-068C_eg.jpg	2	EARTH	0	F	null	Backup	Standard Unit	"{EARTH}{EARTH}{TAP}, put Scholar into the Break Zone: Choose 1 Earth Summon in your Break Zone. Add it to your hand."
Machinist	Opus_VI	6-069C_eg.jpg	2	EARTH	0	X	null	Backup	Standard Unit	"{EARTH}{EARTH}{１}{TAP}, put Machinist into the Break Zone: Choose 1 Forward of power 5000 or less. Break it."
Gigas	Opus_VI	6-070C_eg.jpg	4	EARTH	0	T	null	Monster	Giant	"{0}: Until the end of the turn, Gigas also becomes a Forward with 9000 power and ""When Gigas attacks, Gigas will not activate during your next Active Phase."" You can only use this ability once per turn."
Krile (XIV)	Opus_VI	6-071H_eg.jpg	2	EARTH	0	X	null	Backup	Scion of the Seventh Dawn	"{EARTH}{１}{TAP}: Choose 1 Forward you control. During this turn, it cannot be returned to its owner's hand by your opponent's Summons or abilities."
Cait Sith (XIV)	Opus_VI	6-072C_eg.jpg	2	EARTH	0	X	null	Backup	Watchman	"{EARTH}{EARTH}{TAP}, put Cait Sith (XIV) into the Break Zone: Choose 1 Summon choosing a Forward you control. Cancel its effect."
Evoker	Opus_VI	6-073C_eg.jpg	1	EARTH	0	I	null	Backup	Standard Unit	
Cactuar	Opus_VI	6-074C_eg.jpg	4	EARTH	0	V	null	Summon		Choose 1 Forward. Deal it 4000 damage for each CP of a different Element you paid to cast Cactuar.
Titan	Opus_VI	6-075R_eg.jpg	5	EARTH	0	M	VII	Summon		"[[ex]]EX BURST[[/]] Choose 1 Forward you control and 1 Forward opponent controls. The former gains +2000 power until the end of the turn. Then, the former deals damage equal to its power to the latter."
Pavlov	Opus_VI	6-076C_eg.jpg	2	EARTH	0	F	null	Backup	Penguin	{TAP}: Choose 1 [[i]]Category FFCC[[/]] Forward. It gains +1000 power until the end of the turn.
Hugh Yurg	Opus_VI	6-077R_eg.jpg	5	EARTH	7000	F	null	Forward	Warrior	"[[ex]]EX BURST[[/]] When Hugh Yurg enters the field, you may search for 1 [[i]]Job Warrior[[/]] and add it to your hand.[[br]] If you control [[i]]Card Name Leo[[/]], Hugh Yurg gains +1000 power and Brave."
Maat	Opus_VI	6-078R_eg.jpg	6	EARTH	8000	X	null	Forward	Monk	"The [[i]]Job Monk[[/]] Forwards and [[i]]Card Name Monk[[/]] Forwards you control cannot become dull by your opponent's Summons or abilities.[[br]] When Maat enters the field, you may search for 1 [[i]]Job Monk[[/]] or [[i]]Card Name Monk[[/]] and add it to your hand."
Minfilia	Opus_VI	6-079L_eg.jpg	6	EARTH	0	X	null	Backup	Scion of the Seventh Dawn	"When Minfilia enters the field, choose up to 2 Characters in your Break Zone. Add them to your hand.[[br]] {EARTH}{EARTH}{1}{TAP}, put Minfilia into the Break Zone: Choose 1 Light Character or Dark Character. Break it."
Mushussu	Opus_VI	6-080R_eg.jpg	2	EARTH	0	T	null	Monster	Marduk	"{EARTH}{1}, put Mushussu into the Break Zone: Choose 1 dull Forward. Break it."
Moogle Brothers	Opus_VI	6-081R_eg.jpg	3	EARTH	0	F	null	Backup	Moogle	"When Moogle Brothers enters the field, reveal the top 5 cards of your deck. Add 1 [[i]]Job Moogle[[/]] among them to your hand and return the other cards to the bottom of your deck in any order.[[br]] {TAP}, put Moogle Brothers into the Break Zone: Play 1 [[i]]Job Moogle[[/]] of cost 2 or less from your hand onto the field."
Monk	Opus_VI	6-082C_eg.jpg	3	EARTH	7000	X	null	Forward	Standard Unit	"{TAP}, put Monk into the Break Zone: Choose 1 dull Forward. Deal it 7000 damage."
Y'shtola	Opus_VI	6-083H_eg.jpg	4	EARTH	8000	X	null	Forward	Scion of the Seventh Dawn	"Y'shtola cannot be broken by opposing Summons or abilities that don't deal damage.[[br]] If you control 3 or more [[i]]Job Scion of the Seventh Dawn [[/]]other than Y'shtola, Y'shtola gains Brave.[[br]] When Y'shtola attacks, choose 1 Forward opponent controls. If you control 5 or more [[i]]Job Scion of the Seventh Dawn [[/]]other than Y'shtola, deal it 8000 damage."
Leo	Opus_VI	6-084L_eg.jpg	1	EARTH	1000	F	null	Forward	King	"For each Character other than Leo you control, Leo gains +1000 power.[[br]] Backups you control can produce CP of any Element."
Al-Cid	Opus_VI	6-085C_eg.jpg	3	LIGHTNING	0	F	null	Backup	Agent	"When Al-Cid enters the field, choose 2 Forwards opponent controls. Dull them."
Arecia Al-Rashia	Opus_VI	6-086H_eg.jpg	2	LIGHTNING	0	T	null	Backup	Archsorceress	"{LIGHTNING}{TAP}, discard 1 Summon: Search for 1 Summon and add it to your hand."
Edea	Opus_VI	6-087R_eg.jpg	4	LIGHTNING	0	T	VIII	Backup	Witch	"{TAP}, put Edea into the Break Zone: Choose 1 [[i]]Job Witch[[/]] in your Break Zone. Play it onto the field. You can only use this ability during your turn."
Estinien	Opus_VI	6-088L_eg.jpg	5	LIGHTNING	8000	X	null	Forward	Dragoon	"If you control 5 or more Backups, Estinien gains Haste.[[br]] When Estinien is blocked, break the blocking Forward.[[br]] {LIGHTNING}: Activate Estinien. Estinien can attack once more this turn. You can only use this ability during your turn and only once per turn."
Estinien	Opus_VI	6-089R_eg.jpg	3	LIGHTNING	7000	X	null	Forward	Dragoon	You can only pay with CP produced by Lightning Backups to play Estinien from your hand onto the field. [[br]] Haste First Strike
Kain	Opus_VI	6-090H_eg.jpg	3	LIGHTNING	9000	I	null	Forward	Dragoon	"When a Dark Forward of your opponent enters the field, your opponent gains control of Kain.[[br]] When a Dark Forward you control is put from the field into the Break Zone, your opponent gains control of Kain."
Black Mage	Opus_VI	6-091C_eg.jpg	2	LIGHTNING	0	X	null	Backup	Standard Unit	"{LIGHTNING}{LIGHTNING}{LIGHTNING}{3}{TAP}, put Black Mage into the Break Zone: Choose 1 active Forward. Deal it 9000 damage."
Quezacotl	Opus_VI	6-092C_eg.jpg	2	LIGHTNING	0	V	null	Summon		"[[ex]]EX BURST[[/]] Choose 1 Forward you control and 1 Forward opponent controls. Until the end of the turn, the former gains +2000 power and the latter loses 2000 power."
Colossus	Opus_VI	6-093C_eg.jpg	4	LIGHTNING	0	T	null	Monster	Magitek Armour	"{0}: Until the end of the turn, Colossus also becomes a Forward with 7000 power and ""When Colossus attacks, deal 1000 damage to all the Forwards opponent controls."" You can only use this ability once per turn."
Seifer	Opus_VI	6-094L_eg.jpg	3	LIGHTNING	6000	V	null	Forward	SeeD Candidate	"When Seifer blocks or is blocked, choose 1 Forward opponent controls. It loses 2000 power until the end of the turn.[[br]] When Seifer deals damage to your opponent, all the Forwards opponent controls lose 2000 power until the end of the turn."
Seifer	Opus_VI	6-095R_eg.jpg	3	LIGHTNING	3000	D	VIII	Forward	SeeD Candidate	"[[ex]]EX BURST[[/]] When Seifer enters the field, you may search for 1 [[i]]Job Witch[[/]] and add it to your hand."
Summoner	Opus_VI	6-096C_eg.jpg	1	LIGHTNING	0	F	null	Backup	Standard Unit	
Ninja	Opus_VI	6-097C_eg.jpg	2	LIGHTNING	0	X	null	Backup	Standard Unit	"When Ninja enters the field, choose 1 damaged Forward. Deal it 5000 damage."
Diepvern	Opus_VI	6-098R_eg.jpg	1	LIGHTNING	0	T	null	Monster	Dragon	"{LIGHTNING}{1}, put Diepvern into the Break Zone: Choose 1 Forward of cost 3 or less. Break it."
Frimelda	Opus_VI	6-099H_eg.jpg	4	LIGHTNING	8000	F	null	Forward	Sword Saint	"When Frimelda enters the field, choose 1 active Forward opponent controls. Deal it 4000 damage for each [[i]]Job Sword Saint[[/]] you control."
Ewen	Opus_VI	6-100C_eg.jpg	3	LIGHTNING	5000	F	null	Forward	Nightfall	"If your opponent controls 3 or more Forwards, Ewen gains Haste and ""Ewen cannot be blocked""."
Raijin	Opus_VI	6-101R_eg.jpg	2	LIGHTNING	0	D	VIII	Backup	Disciplinary Committee Member	The[[i]] Card Name Seifer [[/]]you control gains Haste.[[br]][[s]]Raijin Special[[/]] {S}{TAP}: Choose 1 active Forward. Deal it 8000 damage. You can only use this ability if you control [[i]]Card Name Seifer[[/]] and [[i]]Card Name Fujin[[/]].
Ramuh	Opus_VI	6-102R_eg.jpg	3	LIGHTNING	0	M	VII	Summon		"Select up to 2 of the 4 following actions.[[br]] ""Choose 1 Monster of cost 2 or less. Break it.""[[br]] ""Choose 1 Forward of cost 4 or less. Dull it.""[[br]] ""Choose 1 active Forward. Deal it 7000 damage.""[[br]] ""Choose 1 Lightning Forward. It gains Haste until the end of the turn."""
Ricard	Opus_VI	6-103H_eg.jpg	5	LIGHTNING	8000	I	null	Forward	Dragoon	"[[ex]]EX BURST[[/]] When Ricard enters the field, you may search for 1 [[i]]Card Name Scott[[/]] or [[i]]Card Name Minwu[[/]] or [[i]]Card Name Josef[[/]] and add it to your hand.[[br]] Ricard must block if possible."
Dragoon	Opus_VI	6-104C_eg.jpg	4	LIGHTNING	8000	X	null	Forward	Standard Unit	"When Dragoon enters the field, choose 1 Forward. It gains First Strike until the end of the turn."
Dragoon	Opus_VI	6-105C_eg.jpg	2	LIGHTNING	5000	F	null	Forward	Standard Unit	"For each [[i]]Job Dragoon[[/]] and [[i]]Card Name Dragoon[[/]] other than Dragoon you control, Dragoon gains +2000 power."
Aymeric	Opus_VI	6-106H_eg.jpg	5	WATER	9000	X	null	Forward	Lord Commander of the Temple Knights	"If Aymeric is dealt damage less than his power, the damage becomes 0 instead.[[br]]When Aymeric attacks, all the Forwards other than Aymeric you control gain +2000 power until the end of the turn."
Ultimecia	Opus_VI	6-107R_eg.jpg	3	WATER	7000	D	VIII	Forward	Witch	Dull 3 active Forwards: Choose 1 Forward. Dull it.[[br]][[s]]Knight's Arrow[[/]] {S}{WATER}: Choose 2 Forwards. Dull the first Forward and activate the other.
Thordan VII	Opus_VI	6-108R_eg.jpg	5	WATER	0	X	null	Backup	Archbishop	"[[ex]]EX BURST[[/]] When Thordan VII enters the field, you may search for 1 card and add it to your hand.[[br]] When Thordan VII is put from the field into the Break Zone, draw 1 card."
Eiko	Opus_VI	6-109R_eg.jpg	3	WATER	0	D	IX	Backup	Summoner	"If you have cast a Summon this turn, the cost required to play Eiko onto the field is reduced by 2 (it cannot become 0).[[br]][[s]]Jewel[[/]] {S}{TAP}: Search for 1 Summon and add it to your hand."
Evoker	Opus_VI	6-110C_eg.jpg	1	WATER	0	I	null	Backup	Standard Unit	
Sahagin	Opus_VI	6-111C_eg.jpg	3	WATER	0	T	null	Monster	Sahagin	"{0}: Until the end of the turn, Sahagin also becomes a Forward with 6000 power and ""When Sahagin attacks, draw 1 card, then discard 1 card from your hand."" You can only use this ability once per turn."
Shuyin	Opus_VI	6-112H_eg.jpg	5	WATER	7000	X	null	Forward	Illusion	"When Shuyin enters the field, choose 1 Forward with a power inferior to Shuyin's. You gain control of this Forward until the end of the turn."
Summoner	Opus_VI	6-113C_eg.jpg	2	WATER	0	X	null	Backup	Standard Unit	"{TAP}, put Summoner into the Break Zone: Cast a Summon from your hand. The cost required to cast it is reduced by 2 (it cannot become 0)."
Templar	Opus_VI	6-114C_eg.jpg	4	WATER	8000	F	null	Forward	Standard Unit	"{TAP}: Choose 1 Forward. During this turn, the next damage dealt to it is reduced by 2000 instead."
Scott	Opus_VI	6-115H_eg.jpg	3	WATER	4000	I	null	Forward	Prince	"For each Backup you control, Scott gains +1000 power.[[br]] If you control[[i]] Card Name Hilda[[/]], Scott and the [[i]]Card Name Gordon[[/]] you control gain Brave."
Dracobaltian	Opus_VI	6-116R_eg.jpg	2	WATER	0	T	null	Monster	Dracobaltian	"{WATER}{1}, put Dracobaltian into the Break Zone: Choose 1 Forward opponent controls. Return it to its owner's hand."
Siren	Opus_VI	6-117C_eg.jpg	1	WATER	0	V	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Water Forward. It gains +4000 power until the end of the turn.
Astrologian	Opus_VI	6-118C_eg.jpg	2	WATER	0	X	null	Backup	Standard Unit	"{TAP}: Reveal the top card of your deck. If it is a Backup, add it to your hand. If it is not a Backup, put it into the Break Zone."
Chime	Opus_VI	6-119C_eg.jpg	4	WATER	0	F	null	Backup	Minister	"If you control [[i]]Card Name Leo[[/]], the cost required to play Chime onto the field is reduced by 2.[[br]] When Chime enters the field, choose 1 Forward opponent controls. You may return 1 Forward you control to its owner's hand. If you do so, return the chosen Forward to its owner's hand."
Paladin	Opus_VI	6-120C_eg.jpg	5	WATER	8000	X	null	Forward	Standard Unit	"If Paladin is dealt damage by a Forward, reduce the damage by 4000 instead."
Pieuje	Opus_VI	6-121C_eg.jpg	4	WATER	5000	X	null	Forward	Prince	"[[ex]]EX BURST[[/]] When Pieuje enters the field, you may search for 1 [[i]]Job Prince[[/]] and add it to your hand."
Hilda	Opus_VI	6-122H_eg.jpg	6	WATER	0	I	null	Backup	Princess	"When Hilda enters the field, draw 1 card for each Forward you control. You can only draw up to 4 cards with this ability."
Minwu	Opus_VI	6-123L_eg.jpg	4	WATER	7000	I	null	Forward	Mage	"When Minwu enters the field, reveal the top 5 cards of your deck. Add 1 Summon among them to your hand and return the other cards to the bottom of your deck in any order.[[br]] When Minwu attacks, you may cast 1 Summon of cost 4 or less from your hand without paying the cost."
Yuna	Opus_VI	6-124L_eg.jpg	6	WATER	8000	X	null	Forward	Gullwings	"When Yuna enters the field, play 1 [[i]]Job Gullwings[[/]][[b]] Forward from your hand onto the field or search for 1 [[/]][[i]]Job[[/]][[b]] [[/]][[i]]Gullwings[[/]][[b]] Forward other than [[/]][[i]]Card Name Yuna[[/]][[b]] and add it to your hand.[[br]]   {1}, remove 3 Summons in the Break Zone from the game: Choose 1 [[/]][[i]]Job Gullwings[[/]] Forward. [[b]]Activate[[/]] it. It gains +1000 power until the end of the turn."
Leviathan	Opus_VI	6-125R_eg.jpg	3	WATER	0	M	VII	Summon		"Select 1 of the 3 following actions.[[br]] ""Choose 1 Forward. Return it to its owner's hand.""[[br]] ""Choose 1 action ability. Cancel its effect.""[[br]] ""During this turn, if a Forward you control is dealt damage by a Summon, the damage becomes 0 instead."""
Leila	Opus_VI	6-126R_eg.jpg	4	WATER	3000	P	II	Forward	Pirate	"When Leila enters the field, choose 1 [[i]]Card Name Viking [[/]]of cost 3 or less in your Break Zone. Play it onto the field."
Hraesvelgr	Opus_VI	6-127L_eg.jpg	6	LIGHT	9000	X	null	Forward	The First Brood	"When Hraesvelgr enters the field, select 1 of the 3 following actions.[[br]] ""Skip your opponent's Attack Phase in their next turn. Remove the top 5 cards of your deck from the game.""[[br]] ""Choose 1 Character in your Break Zone. Add it to your hand.""[[br]] ""Remove all the cards in your opponent's Break Zone from the game."""
Materia	Opus_VI	6-128H_eg.jpg	4	LIGHT	0	D	null	Backup	Goddess	"Materia can be played onto the field even if you control other Light Characters. [[br]] You can play 2 or more Light Characters onto the field.[[br]] When Materia enters the field, you may search for 1 Light Forward and add it to your hand."
Spiritus	Opus_VI	6-129H_eg.jpg	4	DARK	0	D	null	Backup	God	"Spiritus can be played onto the field even if you control other Dark Characters. [[br]] You can play 2 or more Dark Characters onto the field.[[br]] When Spiritus enters the field, you may search for 1 Dark Forward and add it to your hand."
Nidhogg	Opus_VI	6-130L_eg.jpg	9	DARK	9000	X	null	Forward	The First Brood	"When Nidhogg enters the field, your opponent randomly removes 1 card in his/her hand from the game.[[br]] When Nidhogg enters the field, choose 1 Forward opponent controls. Remove it from the game."
Auron	Opus_VII	7-001H_eg.jpg	4	FIRE	8000	X	null	Forward	Guardian	The [[i]]Category X[[/]] Forwards you control gain Brave.[[br]] {TAP}: Choose 1 blocking Forward. It gains +1000 power until the end of the turn.
Aigis	Opus_VII	7-002R_eg.jpg	4	FIRE	8000	F	null	Forward	Warrior of Light	"The [[i]]Job Warrior of Light[[/]] Forwards other than Aigis you control gain Brave.[[br]] When Aigis enters the field, you may play 1 Forward of cost 2 from your hand onto the field."
Red Mage	Opus_VII	7-003C_eg.jpg	2	FIRE	4000	V	null	Forward	Standard Unit	"When Red Mage enters the field, if the cost paid to play Red Mage included Ice CP, your opponent discards 1 card from his/her hand.[[br]] {TAP}: Choose 1 Forward. Deal it 1000 damage."
Fritt	Opus_VII	7-004C_eg.jpg	2	FIRE	4000	W	null	Forward	Ifrit	"Fritt is also a Monster in all situations.[[br]] When Fritt is put from the field into the Break Zone, you may search for 1 [[i]]Card Name Ifrit[[/]] and add it to your hand."
Ifrit	Opus_VII	7-005C_eg.jpg	4	FIRE	0	D	null	Summon		"[[ex]]EX BURST[[/]] Choose 1 Forward. Deal it 7000 damage. If Ifrit results from an EX Burst, deal it 8000 damage instead."
Varuna	Opus_VII	7-006R_eg.jpg	2	FIRE	8000	X	null	Monster	Varuna	"When a Forward you control deals damage to your opponent, if Varuna is not a Forward, Varuna also becomes a Forward with 8000 power and Brave. (This effect does not end at the end of the turn. This ability will not trigger if Varuna is a Forward.)"
Black Mage	Opus_VII	7-007C_eg.jpg	2	FIRE	0	V	null	Backup	Standard Unit	"{FIRE}{TAP}, put Black Mage into the Break Zone: Choose 1 Forward. Deal it 4000 damage."
Sazh	Opus_VII	7-008C_eg.jpg	4	FIRE	0	X	null	Backup	Ravager	"[[ex]]EX BURST[[/]] When Sazh enters the field, you may search for 1 Fire Summon and add it to your hand."
Samurai	Opus_VII	7-009C_eg.jpg	2	FIRE	0	V	null	Backup	Standard Unit	"When Samurai enters the field, choose 1 Fire Forward. It gains +2000 power and Brave until the end of the turn.[[br]] {TAP}, put Samurai into the Break Zone: Choose 1 Fire Forward. It gains +2000 power and Brave until the end of the turn. You can only use this ability if you have received 5 points of damage or more."
Jecht	Opus_VII	7-010L_eg.jpg	5	FIRE	9000	D	X	Forward	Guardian	"If you have received 4 points of damage or more, the cost for playing Jecht onto the field is reduced by 4.[[br]] When Jecht enters the field, if you have at least 2 points of damage more than your opponent, Jecht deals your opponent 1 point of damage."
Summoner	Opus_VII	7-011C_eg.jpg	3	FIRE	7000	V	null	Forward	Standard Unit	"When Summoner enters the field, choose 1 Forward opponent controls. If the cost paid to play Summoner included Lightning CP, dull it."
Sol	Opus_VII	7-012H_eg.jpg	2	FIRE	5000	F	null	Forward	Warrior of Light	"If you control a [[i]]Job Warrior of Light[[/]] Forward other than Sol, Sol gains +2000 power and Haste."
Berserker	Opus_VII	7-013R_eg.jpg	2	FIRE	8000	V	null	Forward	Standard Unit	"When Berserker deals damage to your opponent or to a Forward, break Berserker."
Baugauven	Opus_VII	7-014R_eg.jpg	5	FIRE	8000	F	null	Forward	The Four Generals	"When Baugauven enters the field, choose 1 Forward opponent controls. If the cost to play Baugauven was only paid with Fire CP, deal it 7000 damage.[[br]][[s]]Final Backdraft[[/]] {S}{FIRE}{FIRE}{TAP}: Choose 1 Forward of any Element except Fire. Deal it 10000 damage."
Fang	Opus_VII	7-015R_eg.jpg	3	FIRE	7000	X	null	Forward	Commando	"If you control 2 or more [[i]]Category XIII[[/]] Characters, Fang gains First Strike.[[br]] If you control 4 or more [[i]]Category XIII[[/]] Characters, Fang gains Haste.[[br]] If you control 6 or more [[i]]Category XIII[[/]] Characters, Fang gains +3000 power."
